Credit_Card,Loyalty_Card
1286.0,L3288
1286.0,L3572
1310.0,L8012
1321.0,L4149
1415.0,L7783
1874.0,L4424
1877.0,L3014
2142.0,L9637
2276.0,L3317
2418.0,L9018
2463.0,L6886
2540.0,L5947
2681.0,L1107
3484.0,L2490
3492.0,L7814
3506.0,L7761
3547.0,L9362
3853.0,L1485
4434.0,L2169
4530.0,L8477
4795.0,L2070
4795.0,L8566
4948.0,L3295
4948.0,L9406
5010.0,L2459
5368.0,L2247
5368.0,L6119
5407.0,L4034
5921.0,L3295
5921.0,L9406
6691.0,L6267
6816.0,L8148
6895.0,L3366
6899.0,L6267
6901.0,L9363
7108.0,L6544
7117.0,L6417
7253.0,L1682
7354.0,L9254
7384.0,L3800
7688.0,L4164
7792.0,L5756
7819.0,L5259
7889.0,L2247
7889.0,L6119
8129.0,L8328
8156.0,L5224
8202.0,L2343
8332.0,L2070
8332.0,L8566
8411.0,L6110
8642.0,L2769
9152.0,L5485
9220.0,L4063
9241.0,L3288
9405.0,L3259
9551.0,L5777
9614.0,L5924
9617.0,L5553
9635.0,L3191
9683.0,L7291
9735.0,L9633
