Credit_Card,Loyalty_Card,Is_Precise
1286,L3288,0
1286,L3572,0
1310,L8012,1
1321,L4149,1
1415,L7783,1
1874,L4424,1
1877,L3014,1
2142,L9637,1
2276,L3317,1
2418,L9018,1
2463,L6886,1
2540,L5947,1
2681,L1107,1
3484,L2490,1
3492,L7814,1
3506,L7761,1
3547,L9362,1
3853,L1485,1
4434,L2169,1
4530,L8477,1
4795,L2070,0
4795,L8566,0
4948,L3295,0
4948,L9406,0
5010,L2459,1
5368,L2247,0
5368,L6119,0
5407,L4034,1
5921,L3295,0
5921,L9406,0
6691,L6267,0
6816,L8148,1
6895,L3366,1
6899,L6267,0
6901,L9363,1
7108,L6544,1
7117,L6417,1
7253,L1682,1
7354,L9254,1
7384,L3800,1
7688,L4164,1
7792,L5756,1
7819,L5259,1
7889,L2247,0
7889,L6119,0
8129,L8328,1
8156,L5224,1
8202,L2343,1
8332,L2070,0
8332,L8566,0
8411,L6110,1
8642,L2769,1
9152,L5485,1
9220,L4063,1
9241,L3288,0
9405,L3259,1
9551,L5777,1
9614,L5924,1
9617,L5553,1
9635,L3191,1
9683,L7291,1
9735,L9633,1
