last4ccnum,Matched_CarID,Total_Txns,Hits,Hit_Rate,Match_Logic,FullName,CurrentEmploymentType,CurrentEmploymentTitle,Vehicle_Type
7792,105,25,25,100,公共卡车调用,未定业务人员,跨部门调用,现场作业,公共卡车
9220,101,10,5,50,公共卡车调用,未定业务人员,跨部门调用,现场作业,公共卡车
9735,107,18,9,50,公共卡车调用,未定业务人员,跨部门调用,现场作业,公共卡车
9152,105,4,2,50,公共卡车调用,未定业务人员,跨部门调用,现场作业,公共卡车
2276,106,12,6,50,公共卡车调用,未定业务人员,跨部门调用,现场作业,公共卡车
4530,107,10,4,40,公共卡车调用,未定业务人员,跨部门调用,现场作业,公共卡车
3506,101,11,4,36.36,公共卡车调用,未定业务人员,跨部门调用,现场作业,公共卡车
3547,29,20,16,80,专属配车基准绑定,Bertrand Ovan,Facilities,Facilities Group Manager,公司专属配车
5921,29,14,11,78.57,次级卡从属绑定,Bertrand Ovan,Facilities,Facilities Group Manager,公司专属配车
2142,25,33,24,72.73,专属配车基准绑定,Kanon Herrero,Engineering,Geologist,公司专属配车
7889,8,30,21,70,专属配车基准绑定,Lucas Alcazar,Information Technology,IT Technician,公司专属配车
1310,26,33,23,69.7,专属配车基准绑定,Marin Onda,Engineering,Drill Site Manager,公司专属配车
3492,27,29,20,68.97,专属配车基准绑定,Kare Orilla,Engineering,Drill Technician,公司专属配车
9617,18,31,19,61.29,专属配车基准绑定,Birgitta Frente,Engineering,Geologist,公司专属配车
7253,6,30,18,60,专属配车基准绑定,Linnea Bergen,Information Technology,IT Group Manager,公司专属配车
1874,14,32,18,56.25,专属配车基准绑定,Lidelse Dedos,Engineering,Engineering Group Manager,公司专属配车
9405,21,32,16,50,专属配车基准绑定,Hennie Osvaldo,Security,Perimeter Control,公司专属配车
7108,12,30,15,50,专属配车基准绑定,Hideki Cocinaro,Security,Site Control,公司专属配车
6899,5,30,15,50,专属配车基准绑定,Isak Baza,Information Technology,IT Technician,公司专属配车
9551,1,27,13,48.15,专属配车基准绑定,Nils Calixto,Information Technology,IT Helpdesk,公司专属配车
6895,19,31,11,35.48,专属配车基准绑定,Vira Frente,Engineering,Hydraulic Technician,公司专属配车
4434,24,32,9,28.12,专属配车基准绑定,Minke Mies,Security,Perimeter Control,公司专属配车
6691,1,26,7,26.92,次级卡从属绑定,Nils Calixto,Information Technology,IT Helpdesk,公司专属配车
9614,2,4,1,25,专属配车基准绑定,Lars Azada,Engineering,Engineer,公司专属配车
8129,8,32,8,25,次级卡从属绑定,Lucas Alcazar,Information Technology,IT Technician,公司专属配车
3484,23,35,8,22.86,专属配车基准绑定,Varja Lagos,Security,Badging Office,公司专属配车
2540,7,31,7,22.58,专属配车基准绑定,Elsa Orilla,Engineering,Drill Technician,公司专属配车
2418,25,28,6,21.43,次级卡从属绑定,Kanon Herrero,Engineering,Geologist,公司专属配车
8156,32,34,7,20.59,专属配车基准绑定,Orhan Strum,Executive,SVP/COO,公司专属配车
5010,31,5,1,20,专属配车基准绑定,Sten Sanjorge Jr.,Executive,President/CEO,公司专属配车
1321,11,32,6,18.75,专属配车基准绑定,Axel Calzas,Engineering,Hydraulic Technician,公司专属配车
3853,15,33,6,18.18,专属配车基准绑定,Loreto Bodrogi,Security,Site Control,公司专属配车
7354,16,33,6,18.18,专属配车基准绑定,Isia Vann,Security,Perimeter Control,公司专属配车
9683,33,28,5,17.86,专属配车基准绑定,Brand Tempestad,Engineering,Drill Technician,公司专属配车
7819,13,34,6,17.65,专属配车基准绑定,Inga Ferro,Security,Site Control,公司专属配车
7688,4,34,6,17.65,专属配车基准绑定,Ingrid Barranco,Executive,SVP/CFO,公司专属配车
2681,1,29,5,17.24,次级卡从属绑定,Nils Calixto,Information Technology,IT Helpdesk,公司专属配车
1877,9,30,5,16.67,专属配车基准绑定,Gustav Cazar,Engineering,Drill Technician,公司专属配车
4795,34,32,4,12.5,专属配车基准绑定,Edvard Vann,Security,Perimeter Control,公司专属配车
8332,10,36,4,11.11,专属配车基准绑定,Ada Campo-Corrente,Executive,SVP/CIO,公司专属配车
9241,5,19,2,10.53,次级卡从属绑定,Isak Baza,Information Technology,IT Technician,公司专属配车
6816,20,30,3,10,专属配车基准绑定,Stenig Fusil,Security,Building Control,公司专属配车
6901,30,37,3,8.11,专属配车基准绑定,Felix Resumir,Security,Security Group Manager,公司专属配车
9635,3,28,2,7.14,专属配车基准绑定,Felix Balas,Engineering,Engineer,公司专属配车
5407,21,31,2,6.45,次级卡从属绑定,Hennie Osvaldo,Security,Perimeter Control,公司专属配车
1286,22,32,2,6.25,专属配车基准绑定,Adra Nubarron,Security,Badging Office,公司专属配车
8202,6,33,2,6.06,次级卡从属绑定,Linnea Bergen,Information Technology,IT Group Manager,公司专属配车
7384,23,33,2,6.06,次级卡从属绑定,Varja Lagos,Security,Badging Office,公司专属配车
5368,30,35,2,5.71,次级卡从属绑定,Felix Resumir,Security,Security Group Manager,公司专属配车
4948,28,30,1,3.33,专属配车基准绑定,Isande Borrasca,Engineering,Drill Technician,公司专属配车
1415,2,31,1,3.23,次级卡从属绑定,Lars Azada,Engineering,Engineer,公司专属配车
7117,2,31,1,3.23,次级卡从属绑定,Lars Azada,Engineering,Engineer,公司专属配车
8411,17,32,1,3.12,专属配车基准绑定,Sven Flecha,Information Technology,IT Technician,公司专属配车
2463,,32,0,0,无物理轨迹匹配,无车基层员工,未知,未知,无关联车辆
8642,,15,0,0,无物理轨迹匹配,无车基层员工,未知,未知,无关联车辆
