employee,Betweenness
Stenig Fusil,0.16339869281045752
Sven Flecha,0.0
Isia Vann,0.20915032679738563
Loreto Bodrogi,0.08496732026143791
Felix Balas,0.39215686274509803
Ingrid Barranco,0.04575163398692811
Elsa Orilla,0.0
Marin Onda,0.20915032679738563
Hideki Cocinaro,0.14379084967320263
Birgitta Frente,0.20915032679738563
Lidelse Dedos,0.006535947712418301
Inga Ferro,0.0
Axel Calzas,0.0
Gustav Cazar,0.0196078431372549
Minke Mies,0.0
Vira Frente,0.0
Brand Tempestad,0.0784313725490196
Orhan Strum,0.0
Kare Orilla,0.0
