carA,carB,location_weight,travel_weight,score,source,target,consume_weight,location_norm,travel_norm,consume_norm
17.0,20.0,6.0,6.0,0.9121951219512195,Stenig Fusil,Sven Flecha,9.2,1.0,1.0,0.5609756097560976
15.0,16.0,5.0,5.0,0.7691056910569105,Isia Vann,Loreto Bodrogi,8.4,0.8333333333333333,0.8333333333333333,0.5121951219512196
3.0,4.0,5.0,5.0,0.6788617886178862,Felix Balas,Ingrid Barranco,1.0,0.8333333333333333,0.8333333333333333,0.06097560975609757
16.0,17.0,4.0,4.0,0.6016260162601625,Isia Vann,Sven Flecha,5.6,0.6666666666666666,0.6666666666666666,0.34146341463414637
7.0,26.0,4.0,4.0,0.5699186991869919,Elsa Orilla,Marin Onda,3.0,0.6666666666666666,0.6666666666666666,0.1829268292682927
12.0,15.0,4.0,4.0,0.5577235772357724,Hideki Cocinaro,Loreto Bodrogi,2.0,0.6666666666666666,0.6666666666666666,0.12195121951219513
15.0,17.0,3.0,3.0,0.5560975609756098,Loreto Bodrogi,Sven Flecha,12.8,0.5,0.5,0.7804878048780489
12.0,17.0,4.0,4.0,0.5455284552845528,Hideki Cocinaro,Sven Flecha,1.0,0.6666666666666666,0.6666666666666666,0.06097560975609757
3.0,18.0,4.0,4.0,0.5455284552845528,Birgitta Frente,Felix Balas,1.0,0.6666666666666666,0.6666666666666666,0.06097560975609757
13.0,18.0,4.0,4.0,0.5333333333333333,Birgitta Frente,Inga Ferro,0.0,0.6666666666666666,0.6666666666666666,0.0
14.0,20.0,4.0,4.0,0.5333333333333333,Lidelse Dedos,Stenig Fusil,0.0,0.6666666666666666,0.6666666666666666,0.0
3.0,11.0,3.0,3.0,0.5219512195121951,Axel Calzas,Felix Balas,10.0,0.5,0.5,0.6097560975609757
14.0,17.0,3.0,3.0,0.4731707317073171,Lidelse Dedos,Sven Flecha,6.0,0.5,0.5,0.3658536585365854
13.0,15.0,2.0,2.0,0.4471544715447155,Inga Ferro,Loreto Bodrogi,14.8,0.3333333333333333,0.3333333333333333,0.902439024390244
12.0,18.0,3.0,3.0,0.4365853658536586,Birgitta Frente,Hideki Cocinaro,3.0,0.5,0.5,0.1829268292682927
15.0,18.0,3.0,3.0,0.42439024390243907,Birgitta Frente,Loreto Bodrogi,2.0,0.5,0.5,0.12195121951219513
13.0,16.0,2.0,2.0,0.4154471544715447,Inga Ferro,Isia Vann,12.2,0.3333333333333333,0.3333333333333333,0.7439024390243902
4.0,9.0,3.0,3.0,0.41219512195121955,Gustav Cazar,Ingrid Barranco,1.0,0.5,0.5,0.06097560975609757
12.0,16.0,3.0,3.0,0.41219512195121955,Hideki Cocinaro,Isia Vann,1.0,0.5,0.5,0.06097560975609757
18.0,20.0,3.0,3.0,0.4,Birgitta Frente,Stenig Fusil,0.0,0.5,0.5,0.0
18.0,24.0,3.0,3.0,0.4,Birgitta Frente,Minke Mies,0.0,0.5,0.5,0.0
12.0,13.0,3.0,3.0,0.4,Hideki Cocinaro,Inga Ferro,0.0,0.5,0.5,0.0
14.0,18.0,2.0,2.0,0.38861788617886184,Birgitta Frente,Lidelse Dedos,10.0,0.3333333333333333,0.3333333333333333,0.6097560975609757
16.0,20.0,2.0,2.0,0.3813008130081301,Isia Vann,Stenig Fusil,9.4,0.3333333333333333,0.3333333333333333,0.5731707317073171
3.0,19.0,2.0,2.0,0.3642276422764228,Felix Balas,Vira Frente,8.0,0.3333333333333333,0.3333333333333333,0.48780487804878053
20.0,33.0,2.0,2.0,0.3544715447154472,Brand Tempestad,Stenig Fusil,7.2,0.3333333333333333,0.3333333333333333,0.4390243902439025
15.0,24.0,2.0,2.0,0.34471544715447155,Loreto Bodrogi,Minke Mies,6.4,0.3333333333333333,0.3333333333333333,0.39024390243902446
9.0,11.0,2.0,2.0,0.33983739837398375,Axel Calzas,Gustav Cazar,6.0,0.3333333333333333,0.3333333333333333,0.3658536585365854
19.0,32.0,2.0,2.0,0.33983739837398375,Orhan Strum,Vira Frente,6.0,0.3333333333333333,0.3333333333333333,0.3658536585365854
15.0,20.0,2.0,2.0,0.33252032520325203,Loreto Bodrogi,Stenig Fusil,5.4,0.3333333333333333,0.3333333333333333,0.3292682926829269
3.0,9.0,2.0,2.0,0.3276422764227642,Felix Balas,Gustav Cazar,5.0,0.3333333333333333,0.3333333333333333,0.30487804878048785
