last4ccnum,loyaltynum,Matched_CarID,FullName,CurrentEmploymentType,CurrentEmploymentTitle,Inference_Probability_Str,Car_Share_Prob,Loyalty_Share_Prob,Match_Count,Certainty_Level,Uncertainty_Reason,
4434,L2169,24,Minke Mies,Security,Perimeter Control,100.00%,1,1,26,High (铁证),无异常，完美1对1,
7819,L5259,13,Inga Ferro,Security,Site Control,100.00%,1,1,27,High (铁证),无异常，完美1对1,
7108,L6544,12,Hideki Cocinaro,Security,Site Control,100.00%,1,1,16,High (铁证),无异常，完美1对1,
3853,L1485,15,Loreto Bodrogi,Security,Site Control,100.00%,1,1,22,High (铁证),无异常，完美1对1,
8411,L6110,17,Sven Flecha,Information Technology,IT Technician,100.00%,1,1,27,High (铁证),无异常，完美1对1,
3492,L7814,27,Kare Orilla,Engineering,Drill Technician,100.00%,1,1,22,High (铁证),无异常，完美1对1,
7688,L4164,4,Ingrid Barranco,Executive,SVP/CFO,100.00%,1,1,22,High (铁证),无异常，完美1对1,
9683,L7291,33,Brand Tempestad,Engineering,Drill Technician,100.00%,1,1,18,High (铁证),无异常，完美1对1,
8156,L5224,32,Orhan Strum,Executive,SVP/COO,100.00%,1,1,22,High (铁证),无异常，完美1对1,
6816,L8148,20,Stenig Fusil,Security,Building Control,100.00%,1,1,20,High (铁证),无异常，完美1对1,
2540,L5947,7,Elsa Orilla,Engineering,Drill Technician,100.00%,1,1,20,High (铁证),无异常，完美1对1,
7354,L9254,16,Isia Vann,Security,Perimeter Control,100.00%,1,1,21,High (铁证),无异常，完美1对1,
1877,L3014,9,Gustav Cazar,Engineering,Drill Technician,100.00%,1,1,18,High (铁证),无异常，完美1对1,
1874,L4424,14,Lidelse Dedos,Engineering,Engineering Group Manager,100.00%,1,1,25,High (铁证),无异常，完美1对1,
9617,L5553,18,Birgitta Frente,Engineering,Geologist,100.00%,1,1,26,High (铁证),无异常，完美1对1,
1321,L4149,11,Axel Calzas,Engineering,Hydraulic Technician,100.00%,1,1,22,High (铁证),无异常，完美1对1,
1310,L8012,26,Marin Onda,Engineering,Drill Site Manager,100.00%,1,1,21,High (铁证),无异常，完美1对1,
9635,L3191,3,Felix Balas,Engineering,Engineer,100.00%,1,1,24,High (铁证),无异常，完美1对1,
6895,L3366,19,Vira Frente,Engineering,Hydraulic Technician,100.00%,1,1,21,High (铁证),无异常，完美1对1,
5010,L2459,31,Sten Sanjorge Jr.,Executive,President/CEO,100.00%,1,1,5,High (铁证),无异常，完美1对1,
7384,L3800,23,Varja Lagos,Security,Badging Office,20.95%,0.2095435684647303,1,26,Low (高危),一车绑多卡(车主概率:21%),
7792,L5756,105,未定业务人员,跨部门调用,现场作业,11.11%,0.1111111111111111,1,20,Low (高危),公共卡车(幽灵集群),
7889,L2247,8,Lucas Alcazar,Information Technology,IT Technician,3.51%,0.7368421052631579,0.047619047619047616,1,Low (高危),一车绑多卡(车主概率:74%) | 积分卡交叉互用(交易共现概率:5%),
7889,L6119,8,Lucas Alcazar,Information Technology,IT Technician,70.18%,0.7368421052631579,0.9523809523809523,20,Low (高危),一车绑多卡(车主概率:74%) | 积分卡交叉互用(交易共现概率:95%),
1286,L3288,22,Adra Nubarron,Security,Badging Office,53.57%,1,0.5357142857142857,15,Low (高危),积分卡交叉互用(交易共现概率:54%),
8202,L2343,6,Linnea Bergen,Information Technology,IT Group Manager,9.17%,0.09173478655767484,1,25,Low (高危),一车绑多卡(车主概率:9%),
8332,L2070,10,Ada Campo-Corrente,Executive,SVP/CIO,96.43%,1,0.9642857142857143,27,Low (高危),积分卡交叉互用(交易共现概率:96%),
8332,L8566,10,Ada Campo-Corrente,Executive,SVP/CIO,3.57%,1,0.03571428571428571,1,Low (高危),积分卡交叉互用(交易共现概率:4%),
8642,L2769,,无车基层员工,未知,未知,11.11%,0.1111111111111111,1,12,Low (高危),无物理轨迹(幽灵集群),
9152,L5485,105,未定业务人员,跨部门调用,现场作业,11.11%,0.1111111111111111,1,2,Low (高危),公共卡车(幽灵集群),
9220,L4063,101,未定业务人员,跨部门调用,现场作业,11.11%,0.1111111111111111,1,9,Low (高危),公共卡车(幽灵集群),
9241,L3288,5,Isak Baza,Information Technology,IT Technician,17.40%,0.17396332397158432,1,13,Low (高危),一车绑多卡(车主概率:17%) | 积分卡交叉互用(交易共现概率:100%),
9405,L3259,21,Hennie Osvaldo,Security,Perimeter Control,88.57%,0.8857395925597874,1,21,Low (高危),一车绑多卡(车主概率:89%),
9551,L5777,1,Nils Calixto,Information Technology,IT Helpdesk,52.16%,0.5216119597010075,1,12,Low (高危),一车绑多卡(车主概率:52%),
9614,L5924,2,Lars Azada,Engineering,Engineer,79.47%,0.7946598855689765,1,2,Low (高危),一车绑多卡(车主概率:79%),
8129,L8328,8,Lucas Alcazar,Information Technology,IT Technician,26.32%,0.2631578947368421,1,21,Low (高危),一车绑多卡(车主概率:26%),
7253,L1682,6,Linnea Bergen,Information Technology,IT Group Manager,90.83%,0.9082652134423251,1,24,Low (高危),一车绑多卡(车主概率:91%),
6691,L6267,1,Nils Calixto,Information Technology,IT Helpdesk,29.16%,0.2916260426822663,1,20,Low (高危),一车绑多卡(车主概率:29%) | 积分卡交叉互用(交易共现概率:100%),
6901,L9363,30,Felix Resumir,Security,Security Group Manager,58.68%,0.5868306801736614,1,28,Low (高危),一车绑多卡(车主概率:59%),
1286,L3572,22,Adra Nubarron,Security,Badging Office,46.43%,1,0.4642857142857143,13,Low (高危),积分卡交叉互用(交易共现概率:46%),
