employee,Betweenness
Minke Mies,0.0
Inga Ferro,0.032196969696969696
Hideki Cocinaro,0.058712121212121215
Loreto Bodrogi,0.001893939393939394
Sven Flecha,0.05681818181818182
Kare Orilla,0.005681818181818182
Ingrid Barranco,0.07007575757575758
Brand Tempestad,0.015151515151515152
Orhan Strum,0.026515151515151516
Stenig Fusil,0.003787878787878788
Elsa Orilla,0.007575757575757576
Isia Vann,0.05303030303030303
Gustav Cazar,0.003787878787878788
Lidelse Dedos,0.0
Birgitta Frente,0.006628787878787879
Axel Calzas,0.0
Marin Onda,0.007575757575757576
Felix Balas,0.0
Vira Frente,0.02840909090909091
Sten Sanjorge Jr.,0.0
Varja Lagos,0.030303030303030304
Lucas Alcazar,0.005681818181818182
Adra Nubarron,0.02462121212121212
Linnea Bergen,0.04166666666666667
Ada Campo-Corrente,0.12878787878787878
Isak Baza,0.125
Hennie Osvaldo,0.02462121212121212
Nils Calixto,0.032196969696969696
Lars Azada,0.0
Felix Resumir,0.07954545454545454
Kanon Herrero,0.01893939393939394
Bertrand Ovan,0.04071969696969697
Edvard Vann,0.03787878787878788
Isande Borrasca,0.001893939393939394
