employee,degree
Minke Mies,1.711618348623853
Inga Ferro,2.1302605504587153
Hideki Cocinaro,0.8449321100917431
Loreto Bodrogi,0.4092183486238533
Sven Flecha,2.138774311926605
Kare Orilla,0.5926458715596331
Ingrid Barranco,4.498788990825688
Brand Tempestad,0.7611009174311927
Orhan Strum,2.329820183486239
Stenig Fusil,1.2120807339449542
Elsa Orilla,1.1887412844036698
Isia Vann,2.226759633027523
Gustav Cazar,0.38400000000000006
Lidelse Dedos,0.7849100917431193
Birgitta Frente,2.5844697247706425
Axel Calzas,1.3990458715596328
Marin Onda,1.5416366972477067
Felix Balas,0.9437504587155964
Vira Frente,2.3481688073394498
Sten Sanjorge Jr.,0.0
Varja Lagos,3.042656880733946
Lucas Alcazar,1.0920660550458716
Adra Nubarron,2.8226642201834866
Linnea Bergen,1.8362422018348628
Ada Campo-Corrente,3.532800000000001
Isak Baza,3.7671045871559636
Hennie Osvaldo,2.308124770642202
Nils Calixto,2.712381651376147
Lars Azada,0.19750458715596333
Felix Resumir,3.156198165137615
Kanon Herrero,2.4205211009174312
Bertrand Ovan,3.868359633027523
Edvard Vann,1.7190165137614677
Isande Borrasca,1.8815999999999997
