source,target,location_weight,travel_weight,consume_weight,location_weight_norm,travel_weight_norm,consume_weight_norm,score
Ada Campo-Corrente,Ingrid Barranco,25.0,30.0,0.0,1.0,1.0,0.0,0.6400000000000001
Adra Nubarron,Isande Borrasca,15.0,18.0,0.0,0.6,0.6,0.0,0.576
Birgitta Frente,Nils Calixto,11.0,13.2,6.0,0.44,0.43999999999999995,0.13761467889908258,0.45542752293577976
Bertrand Ovan,Hennie Osvaldo,7.0,8.4,33.2,0.28,0.28,0.761467889908257,0.45155229357798166
Sven Flecha,Varja Lagos,9.0,10.799999999999999,17.400000000000002,0.36,0.36,0.3990825688073395,0.44137981651376146
Adra Nubarron,Bertrand Ovan,10.0,12.0,7.2,0.4,0.4,0.1651376146788991,0.42363302752293586
Nils Calixto,Vira Frente,10.0,12.0,0.0,0.4,0.4,0.0,0.38400000000000006
Minke Mies,Orhan Strum,10.0,12.0,0.0,0.4,0.4,0.0,0.38400000000000006
Isande Borrasca,Isia Vann,10.0,12.0,0.0,0.4,0.4,0.0,0.38400000000000006
Ingrid Barranco,Marin Onda,10.0,12.0,0.0,0.4,0.4,0.0,0.38400000000000006
Bertrand Ovan,Felix Resumir,6.0,7.199999999999999,25.000000000000004,0.24,0.23999999999999996,0.5733944954128442,0.3680146788990826
Axel Calzas,Varja Lagos,9.0,10.799999999999999,4.0,0.36,0.36,0.09174311926605505,0.3676183486238532
Kanon Herrero,Varja Lagos,9.0,10.799999999999999,2.0,0.36,0.36,0.045871559633027525,0.35660917431192657
Birgitta Frente,Isak Baza,7.0,8.4,14.0,0.28,0.28,0.3211009174311927,0.3458642201834863
Ingrid Barranco,Minke Mies,9.0,10.799999999999999,0.0,0.36,0.36,0.0,0.34559999999999996
Orhan Strum,Vira Frente,8.0,9.6,6.0,0.32,0.32,0.13761467889908258,0.3402275229357798
Inga Ferro,Isak Baza,8.0,9.6,5.0,0.32,0.32,0.11467889908256881,0.3347229357798165
Ingrid Barranco,Kanon Herrero,8.0,9.6,4.0,0.32,0.32,0.09174311926605505,0.3292183486238532
Bertrand Ovan,Varja Lagos,6.0,7.199999999999999,17.200000000000003,0.24,0.23999999999999996,0.3944954128440368,0.3250788990825688
Hennie Osvaldo,Nils Calixto,8.0,9.6,3.0,0.32,0.32,0.06880733944954129,0.32371376146788994
Bertrand Ovan,Kanon Herrero,5.0,6.0,23.0,0.2,0.2,0.5275229357798166,0.31860550458715603
Elsa Orilla,Isia Vann,8.0,9.6,1.0,0.32,0.32,0.022935779816513763,0.3127045871559633
Axel Calzas,Ingrid Barranco,8.0,9.6,1.0,0.32,0.32,0.022935779816513763,0.3127045871559633
Isak Baza,Stenig Fusil,8.0,9.6,1.0,0.32,0.32,0.022935779816513763,0.3127045871559633
Isak Baza,Lidelse Dedos,6.0,7.199999999999999,14.0,0.24,0.23999999999999996,0.3211009174311927,0.30746422018348624
Birgitta Frente,Minke Mies,8.0,9.6,0.0,0.32,0.32,0.0,0.3072
Ada Campo-Corrente,Nils Calixto,8.0,9.6,0.0,0.32,0.32,0.0,0.3072
Bertrand Ovan,Orhan Strum,8.0,9.6,0.0,0.32,0.32,0.0,0.3072
Birgitta Frente,Inga Ferro,8.0,9.6,0.0,0.32,0.32,0.0,0.3072
Birgitta Frente,Felix Resumir,6.0,7.199999999999999,10.0,0.24,0.23999999999999996,0.22935779816513763,0.285445871559633
Edvard Vann,Isak Baza,6.0,7.199999999999999,10.0,0.24,0.23999999999999996,0.22935779816513763,0.285445871559633
Ada Campo-Corrente,Orhan Strum,11.0,13.2,0.0,0.44,0.43999999999999995,0.0,0.2816
Ingrid Barranco,Vira Frente,7.0,8.4,2.0,0.28,0.28,0.045871559633027525,0.27980917431192665
Varja Lagos,Vira Frente,7.0,8.4,2.0,0.28,0.28,0.045871559633027525,0.27980917431192665
Adra Nubarron,Isia Vann,10.0,12.0,5.4,0.4,0.4,0.12385321100917433,0.275816513761468
Felix Resumir,Lucas Alcazar,6.0,7.199999999999999,8.0,0.24,0.23999999999999996,0.1834862385321101,0.2744366972477064
Felix Balas,Ingrid Barranco,7.0,8.4,1.0,0.28,0.28,0.022935779816513763,0.27430458715596334
Adra Nubarron,Marin Onda,7.0,8.4,1.0,0.28,0.28,0.022935779816513763,0.27430458715596334
Felix Resumir,Hennie Osvaldo,6.0,7.199999999999999,32.400000000000006,0.24,0.23999999999999996,0.7431192660550461,0.27249908256880734
Birgitta Frente,Linnea Bergen,6.0,7.199999999999999,7.0,0.24,0.23999999999999996,0.16055045871559634,0.2689321100917431
Kanon Herrero,Linnea Bergen,4.0,4.8,19.0,0.16,0.16,0.4357798165137615,0.2581871559633028
Isak Baza,Kanon Herrero,5.0,6.0,12.0,0.2,0.2,0.27522935779816515,0.25805504587155964
Felix Resumir,Ingrid Barranco,6.0,7.199999999999999,3.0,0.24,0.23999999999999996,0.06880733944954129,0.2469137614678899
Marin Onda,Minke Mies,6.0,7.199999999999999,3.0,0.24,0.23999999999999996,0.06880733944954129,0.2469137614678899
Axel Calzas,Isak Baza,6.0,7.199999999999999,3.0,0.24,0.23999999999999996,0.06880733944954129,0.2469137614678899
Bertrand Ovan,Linnea Bergen,2.0,2.4,30.000000000000004,0.08,0.08,0.6880733944954129,0.24193761467889913
Felix Balas,Stenig Fusil,6.0,7.199999999999999,2.0,0.24,0.23999999999999996,0.045871559633027525,0.2414091743119266
Lidelse Dedos,Linnea Bergen,6.0,7.199999999999999,2.0,0.24,0.23999999999999996,0.045871559633027525,0.2414091743119266
Felix Resumir,Varja Lagos,3.0,3.5999999999999996,43.599999999999994,0.12,0.11999999999999998,0.9999999999999999,0.2368
Lidelse Dedos,Nils Calixto,5.0,6.0,8.0,0.2,0.2,0.1834862385321101,0.23603669724770646
Isak Baza,Minke Mies,6.0,7.199999999999999,1.0,0.24,0.23999999999999996,0.022935779816513763,0.2359045871559633
Axel Calzas,Inga Ferro,6.0,7.199999999999999,1.0,0.24,0.23999999999999996,0.022935779816513763,0.2359045871559633
Felix Balas,Isak Baza,6.0,7.199999999999999,1.0,0.24,0.23999999999999996,0.022935779816513763,0.2359045871559633
Axel Calzas,Sven Flecha,6.0,7.199999999999999,1.0,0.24,0.23999999999999996,0.022935779816513763,0.2359045871559633
Isia Vann,Linnea Bergen,5.0,6.0,7.3999999999999995,0.2,0.2,0.16972477064220184,0.23273394495412847
Hennie Osvaldo,Isia Vann,8.0,9.6,7.2,0.32,0.32,0.1651376146788991,0.23122201834862388
Sven Flecha,Vira Frente,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Inga Ferro,Ingrid Barranco,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Felix Resumir,Isande Borrasca,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Bertrand Ovan,Isande Borrasca,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Ada Campo-Corrente,Isande Borrasca,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Ada Campo-Corrente,Kanon Herrero,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Adra Nubarron,Birgitta Frente,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Elsa Orilla,Orhan Strum,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Ingrid Barranco,Isande Borrasca,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Ada Campo-Corrente,Stenig Fusil,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Ada Campo-Corrente,Marin Onda,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Ada Campo-Corrente,Elsa Orilla,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Hideki Cocinaro,Kanon Herrero,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Hideki Cocinaro,Ingrid Barranco,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Hennie Osvaldo,Vira Frente,6.0,7.199999999999999,0.0,0.24,0.23999999999999996,0.0,0.2304
Adra Nubarron,Inga Ferro,7.0,8.4,13.600000000000003,0.28,0.28,0.31192660550458723,0.229108256880734
Hennie Osvaldo,Sven Flecha,2.0,2.4,27.200000000000003,0.08,0.08,0.6238532110091745,0.22652477064220186
Isia Vann,Kanon Herrero,5.0,6.0,6.0,0.2,0.2,0.13761467889908258,0.22502752293577985
Edvard Vann,Elsa Orilla,5.0,6.0,6.0,0.2,0.2,0.13761467889908258,0.22502752293577985
Felix Resumir,Loreto Bodrogi,6.0,7.199999999999999,19.400000000000002,0.24,0.23999999999999996,0.444954128440367,0.22479266055045877
Stenig Fusil,Varja Lagos,6.0,7.199999999999999,19.000000000000004,0.24,0.23999999999999996,0.4357798165137616,0.22332477064220188
Adra Nubarron,Sven Flecha,4.0,4.8,12.600000000000001,0.16,0.16,0.28899082568807344,0.2229577981651376
Ingrid Barranco,Varja Lagos,5.0,6.0,5.0,0.2,0.2,0.11467889908256881,0.21952293577981655
